"Account Number","Credit","Debit","Description","Posted Date"
"7120","","1.99","Debit Card Purchase PAYPAL  FAXZERO COM        ...7733     OR","03/29/2021"
"7120","","175","ACH Withdrawal VENMO            PAYMENT TECHNICA HACKS         ...6814","03/25/2021"
"7120","","50","Recur Debit Card Purchase RETOOL PRO                 SAN FRANCISC   CA","03/22/2021"
"7120","","39.99","Recur Debit Card Purchase PHOTOBOOTHSOLUTIONS        ANAHEIM        CA","03/22/2021"
"7120","","34.99","Recur Debit Card Purchase APEX MINEC  APEX HOSTI     SARASOTA       FL","03/22/2021"
"7120","","14.99","Recur Debit Card Purchase ZOOM US 888 799 9666       SAN JOSE       CA","03/19/2021"
"7120","","48.86","Recur Debit Card Purchase INTERCOM IO                ...7815     CA","03/17/2021"
"7120","","35","Recur Debit Card Purchase TYPEFORM S L               BARCELONA","03/17/2021"
"7120","","129","Recur Debit Card Purchase ADDEVENT COM               SAN MATEO      CA","03/15/2021"
"7120","","64.99","Recur Debit Card Purchase ZOOM US 888 799 9666       ...9666     CA","03/10/2021"
"7120","","14.99","Recur Debit Card Purchase ZOOM US 888 799 9666       ...9666     CA","03/10/2021"
"7120","","12.96","Debit Card Purchase THE UPS STORE  6693        COLLEGE PARK   MD","03/09/2021"
"7120","","119.95","Recur Debit Card Purchase SENDGRID 1 877 969 864     877 9698647    CO","03/08/2021"
"7120","","19","Recur Debit Card Purchase VUEMASTERY COM             ORLANDO        FL","03/04/2021"
"7120","","188","Recur Debit Card Purchase EZSTORAGE TAKOMA PARK      TAKOMA PARK    MD","03/03/2021"
"7120","","144.59","Debit Card Purchase THE UPS STORE  6693        COLLEGE PARK   MD","03/03/2021"
"7120","","15.68","Debit Card Purchase AMAZON WEB SERVICES        AWS AMAZON C   WA","03/03/2021"
"7120","","211.77","Recur Debit Card Purchase INTERCOM IO                ...7815     CA","03/01/2021"
"7120","","160","Debit Card Purchase REV COM                    ...0701     CA","03/01/2021"
"7120","","64.99","Recur Debit Card Purchase ZOOM US 888 799 9666       SAN JOSE       CA","03/01/2021"
"7120","","11.68","Debit Card Purchase AMZN MKTP US 5T5R04QQ3     AMZN COM BIL   WA","02/23/2021"
"7120","","50","Recur Debit Card Purchase RETOOL PRO                 SAN FRANCISC   CA","02/22/2021"
"7120","","39.99","Recur Debit Card Purchase PHOTOBOOTHSOLUTIONS        ANAHEIM        CA","02/22/2021"
"7120","","34.99","Recur Debit Card Purchase APEX MINEC  APEX HOSTI     ...2183     FL","02/22/2021"
"7120","","14.99","Recur Debit Card Purchase ZOOM US 888 799 9666       SAN JOSE       CA","02/19/2021"
"7120","","48.86","Recur Debit Card Purchase INTERCOM IO                ...7815     CA","02/17/2021"
"7120","","35","Recur Debit Card Purchase TYPEFORM S L               BARCELONA","02/17/2021"
"7120","","129","Recur Debit Card Purchase ADDEVENT COM               SAN MATEO      CA","02/16/2021"
"7120","","64.99","Recur Debit Card Purchase ZOOM US 888 799 9666       SAN JOSE       CA","02/10/2021"
"7120","","14.99","Recur Debit Card Purchase ZOOM US 888 799 9666       ...9666     CA","02/10/2021"
"7120","","20","Debit Card Purchase REV COM                    ...0701     CA","02/08/2021"
"7120","","119.95","Recur Debit Card Purchase SENDGRID 1 877 969 864     877 9698647    CO","02/04/2021"
"7120","","19","Recur Debit Card Purchase VUEMASTERY COM             ORLANDO        FL","02/04/2021"
"7120","","17.74","Debit Card Purchase AMAZON WEB SERVICES        AWS AMAZON C   WA","02/04/2021"
"7120","","188","Recur Debit Card Purchase EZSTORAGE TAKOMA PARK      TAKOMA PARK    MD","02/02/2021"
"7120","","211.77","Recur Debit Card Purchase INTERCOM IO                ...7815     CA","02/01/2021"
"7120","","64.99","Recur Debit Card Purchase ZOOM US 888 799 9666       ...9666     CA","02/01/2021"
"7120","","28.61","Debit Card Purchase AMZN MKTP US NY6Q41P83     AMZN COM BIL   WA","02/01/2021"
"7120","","160","Debit Card Purchase REV COM                    ...0701     CA","01/29/2021"
"7120","","7.88","Debit Card Purchase PLAQUEMAKER                FORTVILLE      IN","01/27/2021"
"7120","","20","Debit Card Purchase REV COM                    ...0701     CA","01/26/2021"
"7120","","50","Recur Debit Card Purchase RETOOL PRO                 ...6657     CA","01/22/2021"
"7120","","39.99","Recur Debit Card Purchase PHOTOBOOTHSOLUTIONS        ...7815     CA","01/22/2021"
"7120","","34.99","Recur Debit Card Purchase APEX MINEC  APEX HOSTI     ...2183     FL","01/21/2021"
"7120","","4628.5","ACH Withdrawal VENMO            PAYMENT TECHNICA HACKS         ...7849","01/19/2021"
"7120","","136","Debit Card Purchase MAILCHIMP    PAYASYOUG     MAILCHIMP CO   GA","01/19/2021"
"7120","","48.86","Recur Debit Card Purchase INTERCOM IO                ...7815     CA","01/19/2021"
"7120","","35","Recur Debit Card Purchase TYPEFORM S L               BARCELONA","01/19/2021"
"7120","","14.99","Recur Debit Card Purchase ZOOM US 888 799 9666       ...9666     CA","01/19/2021"
"7120","","11.95","ACH Withdrawal VENMO            PAYMENT TECHNICA HACKS         ...2510","01/15/2021"
"7120","","129","Recur Debit Card Purchase ADDEVENT COM               SAN MATEO      CA","01/15/2021"
"7120","","499","Debit Card Purchase CES 2021 REGISTRATION      ARLINGTON      VA","01/14/2021"
"7120","","939.54","Recur Debit Card Purchase UBER   TRIP                ...8996     CA","01/11/2021"
"7120","","64.99","Recur Debit Card Purchase ZOOM US 888 799 9666       ...9666     CA","01/11/2021"
"7120","","14.99","Recur Debit Card Purchase ZOOM US 888 799 9666       ...9666     CA","01/11/2021"
"7120","","119.95","Recur Debit Card Purchase SENDGRID 1 877 969 864     877 9698647    CO","01/07/2021"
"7120","","20","Debit Card Purchase REV COM                    ...0701     CA","01/07/2021"
"7120","","1226.5","ACH Withdrawal VENMO            PAYMENT TECHNICA HACKS         ...7171","01/05/2021"
"7120","","3273.5","ACH Withdrawal VENMO            PAYMENT TECHNICA HACKS         ...1576","01/05/2021"
"7120","","211.77","Recur Debit Card Purchase INTERCOM IO                ...7815     CA","01/04/2021"
"7120","","188","Recur Debit Card Purchase EZSTORAGE TAKOMA PARK      TAKOMA PARK    MD","01/04/2021"
"7120","","19","Recur Debit Card Purchase VUEMASTERY COM             ...5517     FL","01/04/2021"
"7120","","17.47","Debit Card Purchase AMAZON WEB SERVICES        AWS AMAZON C   WA","01/04/2021"
